Date,Domain,Location,Value,Transaction_count,domain_index,location_index,features,scaled_features
01/01/2022,RESTRAUNT,Bhuj,365554,1932,5.0,1.0,"[365554.0,1932.0]","[0.07427244403926324,0.7132216014897579]"
01/01/2022,INVESTMENTS,Ludhiana,847444,1721,2.0,24.0,"[847444.0,1721.0]","[0.6074262486612793,0.6149906890130353]"
01/01/2022,RETAIL,Goa,786941,1573,6.0,6.0,"[786941.0,1573.0]","[0.5404868960267656,0.5460893854748603]"
01/01/2022,INTERNATIONAL,Mathura,368610,2049,0.0,42.0,"[368610.0,2049.0]","[0.07765354351616643,0.7676908752327747]"
01/01/2022,RESTRAUNT,Madurai,615681,1519,5.0,44.0,"[615681.0,1519.0]","[0.3510081341110452,0.520949720670391]"
01/01/2022,INTERNATIONAL,Daman,1191092,1813,0.0,12.0,"[1191092.0,1813.0]","[0.9876317699436188,0.6578212290502793]"
01/01/2022,INTERNATIONAL,Buxar,968883,2098,0.0,45.0,"[968883.0,2098.0]","[0.7417840167815827,0.7905027932960894]"
01/01/2022,PUBLIC,Trichy,1030297,606,1.0,36.0,"[1030297.0,606.0]","[0.8097312822509979,0.09590316573556797]"
01/01/2022,RESTRAUNT,Kullu,688655,1463,5.0,7.0,"[688655.0,1463.0]","[0.4317451606907356,0.49487895716945995]"
01/01/2022,MEDICAL,Hyderabad,1174302,1463,4.0,34.0,"[1174302.0,1463.0]","[0.969055637673591,0.49487895716945995]"
01/01/2022,PUBLIC,Lucknow,912902,1035,1.0,43.0,"[912902.0,1035.0]","[0.679847717757853,0.2956238361266294]"
01/01/2022,INVESTMENTS,Bikaner,436534,1093,2.0,41.0,"[436534.0,1093.0]","[0.15280334746550303,0.3226256983240223]"
01/01/2022,PUBLIC,Amritsar,849803,2013,1.0,19.0,"[849803.0,2013.0]","[0.6100362007771217,0.7509310986964618]"
01/01/2022,INVESTMENTS,Mathura,1180043,2068,2.0,42.0,"[1180043.0,2068.0]","[0.9754073693806923,0.776536312849162]"
01/01/2022,RETAIL,Doda,1003497,1654,6.0,11.0,"[1003497.0,1654.0]","[0.780080278984962,0.5837988826815642]"
01/01/2022,MEDICAL,Jaipur,616724,1686,4.0,39.0,"[616724.0,1686.0]","[0.3521620892008391,0.5986964618249534]"
01/01/2022,PUBLIC,Kannur,933938,1362,1.0,29.0,"[933938.0,1362.0]","[0.7031215425602535,0.4478584729981378]"
01/01/2022,RETAIL,Lunglei,521003,2304,6.0,8.0,"[521003.0,2304.0]","[0.2462582204087413,0.8864059590316573]"
01/01/2022,INVESTMENTS,Bombay,849779,1202,2.0,18.0,"[849779.0,1202.0]","[0.6100096476398686,0.37337057728119183]"
01/01/2022,INVESTMENTS,Kannur,770080,2431,2.0,29.0,"[770080.0,2431.0]","[0.5218322107256972,0.9455307262569832]"
01/01/2022,MEDICAL,Pune,762330,1492,4.0,14.0,"[762330.0,1492.0]","[0.5132577601543622,0.5083798882681564]"
01/01/2022,RETAIL,Amritsar,907177,2042,6.0,19.0,"[907177.0,2042.0]","[0.673513688142254,0.7644320297951582]"
01/01/2022,INVESTMENTS,Hyderabad,326101,1789,2.0,34.0,"[326101.0,1789.0]","[0.03062240553721422,0.6466480446927374]"
01/01/2022,RESTRAUNT,Ajmer,778068,1892,5.0,5.0,"[778068.0,1892.0]","[0.5306699799081261,0.6945996275605214]"
01/01/2022,INVESTMENTS,Ludhiana,741605,541,2.0,24.0,"[741605.0,541.0]","[0.4903280197555341,0.06564245810055866]"
01/01/2022,INTERNATIONAL,Mathura,735538,1475,0.0,42.0,"[735538.0,1475.0]","[0.4836156079340774,0.500465549348231]"
01/01/2022,INTERNATIONAL,Ludhiana,1129467,501,0.0,24.0,"[1129467.0,501.0]","[0.9194510581425195,0.04702048417132216]"
01/01/2022,RETAIL,Bhind,555766,2035,6.0,13.0,"[555766.0,2035.0]","[0.284719333339234,0.7611731843575419]"
01/01/2022,INTERNATIONAL,Akola,574197,1652,0.0,33.0,"[574197.0,1652.0]","[0.305111036368947,0.5828677839851024]"
01/01/2022,RETAIL,Kanpur,327304,480,6.0,28.0,"[327304.0,480.0]","[0.03195338154202919,0.037243947858473]"
01/01/2022,RETAIL,Buxar,565665,1559,6.0,45.0,"[565665.0,1559.0]","[0.2956713960754463,0.5395716945996275]"
01/01/2022,RESTRAUNT,Ajmer,491234,860,5.0,5.0,"[491234.0,860.0]","[0.21332237278834493,0.21415270018621974]"
01/01/2022,RESTRAUNT,Bhopal,1155932,2082,5.0,2.0,"[1155932.0,2082.0]","[0.9487314238677299,0.7830540037243948]"
01/01/2022,INTERNATIONAL,Kanpur,1064632,787,0.0,28.0,"[1064632.0,787.0]","[0.8477188642338092,0.18016759776536312]"
01/01/2022,RETAIL,Vellore,685980,1883,6.0,23.0,"[685980.0,1883.0]","[0.4287855922677264,0.6904096834264432]"
01/01/2022,RESTRAUNT,Kullu,627093,1181,5.0,7.0,"[627093.0,1181.0]","[0.36363415087492584,0.36359404096834264]"
01/01/2022,RESTRAUNT,Lunglei,320601,1448,5.0,8.0,"[320601.0,1448.0]","[0.024537311583363572,0.48789571694599626]"
01/01/2022,PUBLIC,Daman,765631,1876,1.0,12.0,"[765631.0,1876.0]","[0.5169099229073915,0.6871508379888268]"
01/01/2022,RESTRAUNT,Kannur,629506,1141,5.0,29.0,"[629506.0,1141.0]","[0.36630384754958795,0.34497206703910616]"
01/01/2022,INTERNATIONAL,Surat,435491,1691,0.0,38.0,"[435491.0,1691.0]","[0.15164939237570918,0.601024208566108]"
01/01/2022,RETAIL,Bhuj,816006,1173,6.0,1.0,"[816006.0,1173.0]","[0.572643851621069,0.35986964618249534]"
01/01/2022,MEDICAL,Hyderabad,753346,2427,4.0,34.0,"[753346.0,2427.0]","[0.5033180357759269,0.9436685288640596]"
01/01/2022,PUBLIC,Ajmer,777949,1405,1.0,5.0,"[777949.0,1405.0]","[0.5305383206025792,0.46787709497206703]"
01/01/2022,INVESTMENTS,Ranchi,369580,1355,2.0,16.0,"[369580.0,1355.0]","[0.07872673281348191,0.4445996275605214]"
01/01/2022,RETAIL,Lunglei,515905,1780,6.0,8.0,"[515905.0,1780.0]","[0.24061789150388116,0.6424581005586593]"
01/01/2022,MEDICAL,Banglore,1138214,430,4.0,15.0,"[1138214.0,430.0]","[0.9291285702905798,0.013966480446927373]"
01/01/2022,EDUCATION,Banglore,379817,2196,3.0,15.0,"[379817.0,2196.0]","[0.09005275223267628,0.8361266294227188]"
